id;living_space;cadastral_number;commissioning_date;number_of_rooms;furnish_type;has_balcony;bathroom_type;ceiling_height;price
1;5658;16016;2023-05-30;29631;system;true;небесно площадь;17142;12566
2;18820;45279;2023-05-30;12723;withdrawal neutral;false;Интеллектуальный;69707;91775
3;37011;9766;2023-05-30;20521;Берет продукт Dollar;false;SMS поглотитель;24582;40209
4;47798;17756;2023-05-30;25021;Деревянный Бакалея one-to-one;false;modular;18550;12208
5;53742;29380;2023-05-30;19388;Невероятный;true;Account;25646;63289
6;84842;32668;2023-05-30;245;серый Cambridgeshire;false;канал;86506;34574
7;83847;743;2023-05-30;38199;Областной ИИ;true;Taka;91643;58534
8;51109;1695;2023-05-30;10409;efficient виртуальный навигация;false;Майка основной Account;55841;89838
9;35590;82049;2023-05-30;20783;demand-driven cutting-edge;false;зеленый;41498;15433
10;88848;84130;2023-05-30;66986;ул.;false;проспект ОЗУ;40611;17160
