id;title;description;estate_type
1;внутренний;hub AGP Лоснящийся;revolutionize
2;aggregate копировать;продукт;reciprocal
3;Бахрейн Региональный;Fully-configurable;PNG
4;Mexican Account;темно-фиолетовый Automated Мадагаскар;incubate парсер
5;Investment context-sensitive;шифрование;Dollar
6;агент;withdrawal консультант;мобильный
7;plug-and-play;Лоснящийся;Меха
8;Loan 4th индексирование;брандмауэр ввести Ножницы;next
9;ability Ergonomic менеджер;Грубый основной Ботинок;Центральный Маленький
10;аналитик Syrian здоровье;Белиз;Dollar
